X_Value,Y_Value
-200.0,-5.848035476425732
-195.0,-5.798889997648997
-190.0,-5.748897078944831
-185.0,-5.698019215305065
-180.0,-5.646216173286171
-175.0,-5.593444710406984
-170.0,-5.539658256754464
-165.0,-5.484806552432619
-160.0,-5.428835233189813
-155.0,-5.371685354944832
-150.0,-5.313292845913056
-145.0,-5.2535878724929015
-140.0,-5.192494101851104
-135.0,-5.129927840030091
-130.0,-5.065797019100886
-125.0,-5.0
-120.0,-4.932424148660941
-115.0,-4.86294413109428
-110.0,-4.791419857062784
-105.0,-4.717693980316533
-100.0,-4.641588833612779
-95.0,-4.562902635386967
-90.0,-4.481404746557165
-85.0,-4.396829672158179
-80.0,-4.308869380063768
-75.0,-4.2171633265087465
-70.0,-4.121285299808557
-65.0,-4.020725758589058
-60.0,-3.9148676411688634
-55.0,-3.8029524607613916
-50.0,-3.6840314986403864
-45.0,-3.556893304490063
-40.0,-3.419951893353394
-35.0,-3.2710663101885897
-30.0,-3.1072325059538586
-25.0,-2.924017738212866
-20.0,-2.7144176165949063
-15.0,-2.4662120743304703
-10.0,-2.154434690031884
-5.0,-1.709975946676697
0.0,0.0
5.0,1.709975946676697
10.0,2.154434690031884
15.0,2.4662120743304703
20.0,2.7144176165949063
25.0,2.924017738212866
30.0,3.1072325059538586
35.0,3.2710663101885897
40.0,3.419951893353394
45.0,3.556893304490063
50.0,3.6840314986403864
55.0,3.8029524607613916
60.0,3.9148676411688634
65.0,4.020725758589058
70.0,4.121285299808557
75.0,4.2171633265087465
80.0,4.308869380063768
85.0,4.396829672158179
90.0,4.481404746557165
95.0,4.562902635386967
100.0,4.641588833612779
105.0,4.717693980316533
110.0,4.791419857062784
115.0,4.86294413109428
120.0,4.932424148660941
125.0,5.0
130.0,5.065797019100886
135.0,5.129927840030091
140.0,5.192494101851104
145.0,5.2535878724929015
150.0,5.313292845913056
155.0,5.371685354944832
160.0,5.428835233189813
165.0,5.484806552432619
170.0,5.539658256754464
175.0,5.593444710406984
180.0,5.646216173286171
185.0,5.698019215305065
190.0,5.748897078944831
195.0,5.798889997648997
200.0,5.848035476425732
